id,title,year
p81c751e8d64fc0676dd8e2f04649fd91,Extraction of Keyphrases from Text: Evaluation of Four Algorithms,1997.0
p81b4d00bc2bf7aecda8483886f4327aa,Preprocessing by a cost-sensitive literal reduction algorithm: REDUCE 1,
p1516a92f22613224c8f2a71cc7b87564,"Learning Prototype-Selection Rules for Case-Based Iterative Design seen as a case-based reasoning system [4], in",
p45b46b41b540a2249cff77db0cb17abb,Bias and the Probability of Generalization,
p80985d031be0fee92165a4211452ca7a,Reduction Techniques for Exemplar-Based Learning Algorithms,
p926eb895e29fba0c20bba9a0c23119e8,Analog VLSI Processor Implementing the Continuous Wavelet Transform,
pda671092a1ddfdc6417dca45cab987a2,Multiple Network Systems (Minos) Modules: Task Division and Module Discrimination 1,
paeac06695898113b296fb6f43c77c89b,Limits on the Performance Benefits of Multithreading and Prefetching,
p76a44cf3547b93c9a873da47de46735f,Cache Coherence Protocols for Large-Scale Multiprocessors,1990.0
p14d830080ef04d03e04ffa4165c97ce6,CRL: High-Performance All-Software Distributed Shared Memory,
pb02e2821f180727e038c4fe4376eff7e,Speech Perception Using Real-Time Phoneme Detection: The BeBe System,
p47f4173cc9a8c2398b9d5c81c56788f8,"Sprees, a FiniteState Orthographic Learning System that Recognizes and Generates Phonologically Similar Spellings",1997.0
p282da67c4d8da20feddd09cbd62f5f31,Compilation of HPSG to TAG,1995.0
pbc36bf4d3c4b5be501c011f2e40c40c6,TSNLP Test Suites for Natural Language Processing The TSNLP project addresses a range of issues,1994.0
p4df6e38f33d3fa80bda9bc8e6084d805,Self-Monitoring with Reversible Grammars,
p9343d989a89430d497cc8c5f94f0a2f9,Feature-Based Inheritance Networks for Computational Lexicons,1991.0
p58ad11790f38cd9d310583e3969d4832,Boosting Regression Estimators,1997.0
pbc5900f6704b8719792ab67e2a9c2659,Making a low-dimensional representation suitable for diverse tasks,1996.0
p701bd1a269ae7be0708ec921eadc9a96,Face Recognition using a Hybrid Supervised/Unsupervised Neural Network,1995.0
pfe63a84c690f026dc8f9b59c095d3896,Interpreting Neural-Network Models,
p39190f36b77db9bbf302c18f6d52aae9,Localized Exploratory Projection Pursuit,
p1268cbd2bba36041a66a9e79f989cabd,Feature Extraction Using an Unsupervised Neural Network,
p517976082403feae82ce8a3c6d3d8376,Bootstrapping with Noise: An Effective Regularization Technique,1996.0
p38255f81299f1768480068126321ae42,"X Through the Firewall, and Other Application Relays",1993.0
p9e433b5193e8ddf05216c29034e605a3,In Advances in Neural Information Processing Systems 8  Gaussian Processes for Regression,
p593ec70d4dfc5a52b579e6c19a8d1ead,View Maintenance in a Warehousing Environment,
p580adb69d02d53a57aa3384ba462d562,Consistency Algorithms for Multi-Source Warehouse View Maintenance,
p650d77983ece6bc718dcaeea1574bd9e,Multiple View Consistency for Data Warehousing,
p3c9ce72472b054dda9b0b59cf0f7a9b6,The Strobe Algorithms for Multi-Source Warehouse Consistency,
p449a8aa7e29afe1acf3ab47a0c803b1c,Physical Database Design for Data Warehouses,
pc9245d733ac2874c320b9f8d888136aa,Graph Structured Views and Their Incremental Maintenance,
p6ab2e02d57b5585a520c2c301ba33e39,ESTIMATING FUNCTIONS OF PROBABILITY DISTRIBUTIONS FROM A FINITE SET OF SAMPLES Part II: Bayes Estimators,
p341756097af6ec9f103f73c6b125e073,Corporate Memories as Distributed Case Libraries,
p0ffe1925cf73dc39ffb324807e4b7ac1,Retrieval and Reasoning in Distributed Case Bases,
p546a526f6c094467b6c5e69ee659220f,Evolution of the GPGP Domain-Independent Coordination Framework 1,
p618880956c3dbc3e057ce39612801e0f,KOLEM: Studies on Evolution of Expertise in a Society of Learning Agents,
p76eebf9e5fc0d93153739257bbd58406,Towards an Effective Calculus for Object Query Languages,
p0c9eedec27f79859a024496beea0f14c,Design and Implementation of a Replay Framework based on a Partial Order Planner Content Area:,
pbf580c2cf464034ef783af88332e5c5d,Evaluating the Effectiveness of Derivation Replay in Partial-order vs State-space Planning,1994.0
p254361cf5e0be3a7bb5d11bf419f2475,Unknown Title 108,1996.0
p02ba9bc170801f80639d339613ddad55,Unknown Title 109,
p527e2b16073aec1c81673a2768534e3a,An Improved Training Algorithm for Support Vector Machines,1997.0
pe4bed89197aa16a69283d17ced9e22e3,The M-Machine Multicomputer,1995.0
p9983c152351e5497af0970cdf41bdd29,Performance Analysis of k-ary n-cube Interconnection Networks 12,1988.0
pee32eecab7c396c80470af0ab0567dd9,The Message-Driven Processor: A Multicomputer Processing Node with Efficient Mechanisms,
p5fe708a65835f9727e744db3051d6c47,Contact Sensing: A Sequential Decision Approach to Sensing Manipulation Contact Features,1995.0
pf6209d3765a9313aa28625cf854b926c,Internal Camera Calibration using Rotation and Geometric Shapes,1993.0
p67bad666d568ac9cfe8c854b935a9bd4,Semantic Content Analysis: A New Methodology for The RELATUS Natural Language Environment Representation: the sentences,1991.0
p92079b4ddee9c98264ed081ebb969132,Beyond Correlation: Bringing Artificial Intelligence to Events Data,1994.0
p8a8140f9f4dd1f44d011afa1b6218cde,Unknown Title 118,
pd3c844c941844059b7fd78dfcf3ea968,Learning from Ambiguity,1998.0
p680164fbd4f5ab61896dd21a8fed9d2a,Using Errors to Create Piecewise Learnable Partitions,
p6b383a33f9f2986dd947108829bae0d5,A CLP Schema to Integrate Specialized Solvers and its Application to Natural Language Processing,1992.0
p7e7b7dd4479f18edf108978c45d0ab5a,Avoiding noise fitting in a Foil-like learning algorithm,
p3ff817acc65a13e36ec23a43e20e7e1e,Fossil: A robust relational learner,
p723c48e71d4f1c6c17d05dac26942069,Efficient Pruning Methods for Relational Learning ausgefuhrt zum Zwecke der Erlangung des akademischen Grades eines,
pe64f1c454c5fbb5e1e1e19c179b183bd,Machine Learning Methods for International Conflict Databases: A Case Study in Predicting Mediation Outcome,
p0135ef5b5b8a29762f4300b232259c87,Knowledge Discovery in International Conflict Databases,
p96b9139b0974a3d777e8f88ddd8c7357,On Effort in AI Research A Description along Two Dimensions one could devise a successful,
pcd3e7b17b61cb20dd5207a104f7a4aa6,Dimensionality Reduction in ILP: A Call To Arms,
pce5704ca76a63bc85bb3cbcae6417e11,Improving Bagging Performance by Increasing Decision Tree Diversity,
p681525587e4fe67bdadeaa7f12a8b1be,Adapting the Evaluation Space to Improve Global Learning,
pb817dfd3392fd697cbda9a00daf3b7cc,LEARNING ROBOT BEHAVIORS USING GENETIC ALGORITHMS,
pfb288d8854d900f3039a3ed0e3a946c7,A Process Model for Developing Inductive Applications,1997.0
pe9a2b130cab3a144c2148ccf45905c06,"The NuMesh: A Modular, Scalable Communications Substrate",
p3e1881ab97c0fb37fb0cdd6454324861,NuMesh: An Architecture Optimized for Scheduled Communication,
p3d003ef382c6f66472b647580c9d0ab6,Communication-Minimal Partitioning of Parallel Loops and Data Arrays for Cache-Coherent Distributed-Memory Multiprocessors,1996.0
p6a37b6c920b4359d45a9b909a40752de,APRIL: A Processor Architecture for Multiprocessing,
pa3f1b1295dd335960637269d442f0bd5,Low-Cost Support for Fine-Grain Synchronization in Multiprocessors,
pcea6a917d973afbcfc1abd6c0f0a9d16,Exploiting Two-Case Delivery for Fast Protected Messaging,1998.0
p9c46b6995a0ebfaf38055cbe57058ffd,Space-Time Scheduling of Instruction-Level Parallelism on a Raw Machine,
p3d803024299a8efbf2ed90f63c2c417f,The Raw Compiler Project,
pfd7e38e044cfdd852cb5546148db8596,The Role of Generic Models in Conceptual Change,
pda3e22f0160bc9d1a58c11113f31c7d2,Meta-Cases: Explaining Case-Based Reasoning,1996.0
p7fb921caacd7466406e729045af6cae3,A Case-Based Approach to Reactive Control for Autonomous Robots,1992.0
pa1a7cfb8acf38b074ecac64fef9069c9,Efficient Feature Selection in Conceptual Clustering,
pdada290dbcb84bb12fd98fb999ea4b88,Simplifying Fault-Tolerance: Providing the Abstraction of Crash Failures,1993.0
pe5c3046da284e6a4125f2afbbd3210fd,Distributed Shared Abstractions (DSA) on Multiprocessors,
pd2ab3c94c22a5ff851623f3db67cc4ca,Using Knowledge to Optimally Achieve Coordination in Distributed Systems,1993.0
p4b5d461e16b3c9df7f8212285ca3bca4,GIT-CC-93/34 A Theory of Interaction and Independence in Sentence Understanding,1993.0
p8cd27fa8924bc551b5fbe5027a32b074,Distributed Consensus Revisited,1993.0
p4597b9e307dcbaada31e8667cbdb031e,GIT-CC-93-59 Reasoning About Function in Reflective Systems,
pbd36dbca7d7659d9b5f114fc16f16f8c,The Complexity of Almost-Optimal Coordination,1993.0
p1cb614a87ac7feddf7e6d7fa3e33ef2c,"PORTS: A Parallel, Optimistic, Real-Time Simulator",1993.0
pd01b6627e753edfa00c81f5702d39de1,An Evaluation of State Sharing Techniques in Distributed Operating Systems,
pb50debef96f70dcc63548edd6a6451e3,Efficient Differential Timeslice Computation,1994.0
pe82a739178835cb392c9e6d62b277790,A Proof of Quasi-Independence Of Sliding Window Flow Control and Go-Back-N Error Recovery Under Independent,1995.0
p3c27bdced0c923e4962b3433f923338b,PORTS: Experiences with a Scheduler for Dynamic Real-Time Systems (Extended Abstract),1994.0
p8119cf6557d3592244b2ec70d854bba7,A Comparative Study of Distributed Shared Memory System Design Issues,1994.0
pf285a4b202a42afcceaedb93ab1d5854,Performance Evaluation of A Seismic Data Analysis Kernel on The KSR Multiprocessors 1,1994.0
pe79121ddf8b304bff16ae10e58d6a683,Opportunities and Tools for Highly Interactive Distributed and Parallel Computing,
pe93db10bf872eedac96dd4b456ab30d0,On Long-Range Dependence in NSFNET Traffic processes for a subset of traffic created by TCP,1994.0
p0fb707d9900138c3210636461773ab69,The Quest for a Zero Overhead Shared Memory Parallel Machine,
p9cc18463e53037e0dfdf83dacbfdecd8,"A Parallel Spectral Model for Atmospheric Transport Processes  several shared memory parallel machines, including SGI multiprocessors.",1995.0
pbcb91c52fdab1e14e302cf123c3af74a,Collaboration during Conceptual Design,1995.0
p196713e99d9c17649be8d31e287ed63c,Delay-jitter Bound and Statistical Loss Bound for Heterogeneous Correlated Traffic Architecture and Equivalent Bandwidth,1996.0
pcef0601ca0b68ad9f77727386ce6eb1e,MetaTeD A Meta Language for Modeling Telecommunication Networks,1996.0
p07c9bc339d9e6a26ef1d540b8623b5ce,A C Instance of TeD,1996.0
pecc876fd8000c5d7ace1c9fd673db409,Effective Search Strategies for Application-Independent Speedup in,
p561986e63a63f958cd04847a164d4c2b,Clay: Integrating Motor Schemas and Reinforcement Learning,
p82f76e589644b974d04e4198ec20490c,Statistical Characterization of a World Wide Web Browsing Session,
p325f39faed836aef849979e816ff2b1f,Future Branches Beyond Speculative Execution,
p251e80110f72320f863e61297e6b5eb1,"Predicting Document Access in Large, Multimedia Repositories",1994.0
pc45c32675cc0844eee92d4208d2edf2b,Integrating status and event phenomena in formal specifications of interactive systems,
p89ec0a69915b3d7aeb86b816949f2091,A Simple Yet Robust Caching Algorithm Based on Dynamic Access Patterns,
p8b06bb51d5808f735e16cda4ecd49f7c,Silk from a Sow's Ear: Extracting Usable Structures from the Web The apparent ease with,
pec882e7d845a850e1b46417761d77cb9,COOLVR: IMPLEMENTING AUDIO IN A VIRTUAL ENVIRONMENTS T OOLKIT Jarrell Pair and Rob Kooper Virtual,
p6c770a4a04a64ffc1b545577d779b6c3,Automating UI Generation by Model Composition,
p48f24e18f0e4d392401ff620e5f418ed,Behavior-based Formation Control for Multi-robot Teams  formation control for multiagent robot teams.,
peed5d641d5eca3bc73af297752d16e0d,Design and Implementation of a Teleautonomous Hummer,
pb3e3d9e38923581f6d2b93e96c52a827,Unknown Title 182,
p37d32ca4078323706aa5aadf6a09505b,Bounds on the Chromatic Polynomial and on the Number of Acyclic Orientations of a Graph,
p98cf970ba5d1ebb2639b8bef2ccdf60a,The Maintenance of Common Data in a Distributed System,
pf4c0ec4ca15ff6d894bda7d1b6243703,From Isolation to Cooperation: An Alternative View of a System of Experts,
p74fb5a499139a3b0abe143425a3a6a5d,Fast Numerical Integration of Relaxation Oscillator Networks Based on Singular Limit Solutions,1998.0
p3192e63d5bb82c8a1eb285e8e36b4544,P  Selection and Information: A Class Based Approach to Lexical Relationships,
p4ad7ee0c2a6b30320c37f2f7c80f1289,Analysis of Left Ventricular Wall Motion Based on Volumetric Deformable Models and MRI-SPAMM,
p529764c41243eb09206be1c5ea8e558e,Linguistic Issues in Facial Animation,
p27eca29eb56bdcb25d7adadc884e34f2,Egocentric spatial representation in early vision,
p4eed00ade5b38829091c26bcbc6b11e5,"NEURAL COMPUTATION, 6, 615-621. Elastic Net Model of Ocular Dominance: Overall Stripe Pattern and Monocular Deprivation",
pacbd38ab205999664bb47591a9d24fba,Learning Viewpoint Invariant Representations of Faces in an Attractor Network,1996.0
p460d3f52e5f3f468687b37e9554d401e,Classifying Facial Action,
p4aebcaea8cbde4fa1729066465271f9e,Dynamic features for visual speech reading: A systematic comparison,
p1bb46215a499814e1a076b1f3b69ce42,Selective Integration: A Model for Disparity Estimation,
p5836bd0840a88619aa5f3d8b53df4cc5,Heuristics and Normative Models of Judgment under Uncertainty,
pce6aefea7d12f0b836821ae04d7024ca,"Confidence as Higher Order Uncertainty proposed for handling higher order uncertainty, including the Bayesian approach,",
pafccf2da82705392d196296f96953400,On the Working Definition of Intelligence,
p4279f9bf06140df1745e25765f950c95,Problem-Solving under Insufficient Resources,1995.0
p738e08b8121c5c2bf01bc34ed56979c1,Programming Research Group A LEARNABILITY MODEL FOR UNIVERSAL REPRESENTATIONS,
p39203e4264dc84701edb47c625057fa9,WebGlimpse Combining Browsing and Searching,1997.0
p99d036798fbfe4d1b87b7d6aa11d8577,Why Aren't Operating Systems Getting Faster As Fast as Hardware?,1990.0
pd3cf858c69c3202bd0977a47d5475a11,Caching in the Sprite Network File System,
pcdb030939eb7924f650ef42031e3a7bf,Measurements of a Distributed File System,
p5380b4dd98b92f0bd94f6ef89766a90f,Zebra: A Striped Network File System,
p71fc1ca9e974aaa3d98cbe0903e29815,Natural Language Processing Using a Propositional Semantic Network with Structured Variables,
p781cee7dbd9c8cbf4bd309fa484dd85a,Computing Solutions Uniquely Collapses the Polynomial Hierarchy,
pc3e10b909eecb5c3a43636c29a5d1fed,"A ""NATURAL LOGIC"" FOR NATURAL LANGUAGE PROCESSING AND KNOWLEDGE REPRESENTATION",1993.0
p1e6e036ea76830833b6a0de5de44852b,On P-selective sets and Adaptive versus Nonadaptive Queries to NP,1994.0
p61788478c727f15f26096cd65865df10,Preference Logic Programming: Optimization as Inference,
pf063c1c764bd4b9eee403927a4919354,Intensional Algorithmic Debugging Preliminary Version,1994.0
pfa4246aaf205f11c1b3fa9977c90312f,LINEAR TIME AND MEMORY-EFFICIENT COMPUTATION,
p220efe979775e5fcc0e0e512f34dbc3e,The Power of the Middle Bit of a #P Function,1993.0
p2c1588a642e5c65f5a53394ffb0732f7,Runtime Incremental Parallel Scheduling on Distributed Memory Computers,
pbf67699be2a51e7491e3d6831d028b14,Impact of Multimedia Data on Workflows,
pba0d633373ddad1946ea69bc13225ed7,Unknown Title 216,
p2c64a27be1cf5bac04c6db47c0e018e6,The bounded membership problem of the monoid SL,
pff82dabca1330069368e2fb4206bfcc4,The Resolution of a Hartmanis Conjecture,
p170181dc389f2b5c102bbbdff842ed5b,Unknown Title 219,
p0adad7e7cf100697d8feafc9d286bf08,A Tight Analysis of the Greedy Algorithm for Set Cover,1995.0
p581578e621c255a81a7d968f537240d4,Dynamic Stress Tests for Narrow Metal Imperfections in Full Scan Circuits,
p3af035dd77a515acc66b71cf052a440a,A Multithreaded Client-Server Architecture for Distributed Multimedia Systems,1996.0
pb1a5d379cc0ec14eb7dc895b2e13e8f0,A note on the Pumping Lemma for regular languages different versions of the pumping lemma,1996.0
pf7ad190287f89bdd8f3b9ce229e7b330,"Complete Distributional Problems, Hard Languages, and Resource-Bounded Measure",1997.0
pa7500ed495cf14d4039904004e98ad59,A Computational Theory of Vocabulary Expansion connections used for the definition by selecting particular kinds,
p148215b3c9a2a893219b10fa5bea36da,Performance of a Simple Cooperative Individual Situation Assessment (CISA) with Respect to Information Sharing Strategy Metrics,
pddf74510b9a45248996a83ecacc3862c,A Hierarchy Based on Output Multiplicity  Simulation,1997.0
p7827bddac4e91575e3cb765c553415d1,A DVSM server for MESHIX,
p0035e67fc76f11f1bf9c05908aaa318b,Unknown Title 229,
p32abbe20caaf0f2e74fcc715b4a0b554,Data Flow Equations for Explicitly Parallel Programs,1992.0
p38000bf59d17ea08844c7d36e54bfec4,Scalable Internet Resource Discovery: Research Problems and Approaches,1994.0
p2dac41b9fd005c4bc41be73ec609c167,Time and Message Efficient Reliable Broadcasts,
p71131182d42269cf57392ade60781b24,A Primal-Dual Accelerated Interior Point Method Whose Running Time Depends Only on A for linear,1994.0
pa9a52ae0271809a8a7dbb1ed81576892,Incremental Computation for Transformational Software Development,1995.0
p6c7f5a5aeb102fab51de6d7103800832,Transportable Information Agents,
pc418ab5ed80e03d4d50c5543a39882f9,RTBA A Generic Bit-Sliced Bus Architecture for DataPath Synthesis,
p98f762d4c0cdd8b69b964df51b8c90aa,A Specification-based Data Model viewpoint has other advantages. It keeps specifications and implementations consistent with,
pb617becad237c415530e061b916254fb,"MERGING INTERACTIVE, MODULAR, AND OBJECT-ORIENTED PROGRAMMING",
p0fa0b71dd9606b606df46cf5128f0eba,First-Class Extents,1992.0
p25089437775d540c84668be0ea31dc83,Syntactic Abstraction in Scheme,1992.0
p795196d157b6eb952c2b0efe1a1d2058,"Matrix Algorithms using Quadtrees Invited Talk,",1992.0
pe009e251dc539ecfede837a51e00f8d5,Matrix Chain Ordering in Polylog Time with n=lg n Processors,1993.0
p76f3d3c8cbc2686448217b1e7d87e941,Boolean Verification with Formal Derivation,1993.0
p41fc2ab38cd1576458b2e73612a26065,Unknown Title 244,1993.0
pec26c2a668ac902f5a05c561a2426f6d,Backtracking and Probing,
pd55fc09dde91842076c5651c676f57e1,Interactive Rendering of Complex 3D Models in Pipelined Graphics Architectures,
p081f41fa94b50e3c34d9cd36a09d6cef,Development of a Fault-Tolerant Clock Synchronization Circuit 1,1994.0
p65e71e65c9faa5157826bb633837a3a0,A Logical Formalization of Hardware Design Diagrams,
pba7eaa9c29840b0104793e323cd6c730,Parallel I/O from the User's Perspective,
p987120ddf439786e41bd129dbbb86431,A Uniform Data Model for Relational Data and Meta-Data Query Processing,
p95b54e1adcfbfdd1a9c1d9530eaacb5a,Experiments in Path Optimization via Pheromone Trails by Simulated Robots,1996.0
pa8da4b2837428b7e524fd6b6c7171031,Automatically Exploiting Implicit Parallelism in Multi-way Recursive Methods in Java,
p028131e4b29f01ae087ffd97b8db703d,Unknown Title 253,
p2d6d7074e6fe87d4fe1f5b3d98f8bfa7,Navigation with 2D Controllers,
p960ef9eb50751069087ee0fe7be47228,A Note on Native Level 1 BLAS in Java,
p81ad22e9402669b01a4cdcac45c3093d,Fast and Effective Procedure Inlining,1997.0
p50a9d3afcc9e76078eedb6a542f00738,Tabular Language for System Design,1997.0
pa8a529d36010883b1913be64aba92fe9,javar a prototype Java restructuring compiler,
p40702980fd8bb5c44c9914d4e8ec1544,Local Type Inference,1997.0
p91f66e494f725e1061892e73dfe388b7,An Algorithm for Comparing Deterministic Regular Tree Grammars,
pf8dcb94c8bd17fcae4da7b536ed7f229,Automated Symbolic Timing Analysis for Distributed Systems,1998.0
pac1044712bc64e0f5ea4d38f688f47b4,HARDWARE VERIFICATION USING COINDUCTIVE ASSERTIONS,1998.0
paf3228078876c1e7d68b7979e85c6e29,Lookahead and Pathology in Decision Tree Induction,
p0ae8cc9efa0b0705218efbb81d4a29bb,A Category Theory Approach to Conceptual Data Modeling  A Category Theory Approach to Conceptual Data Modeling.,1994.0
pb21db2d5cf4bce5b5edb1fdc58c6cb6a,Pool Heuristics in Evolutionary Database Optimization  Pool Heuristics in Evolutionary Database Optimization. In,1994.0
p045f8f753f6abf6e3c0f1ec2561a41be,Data Modelling in Complex Application Domains,
pd8501d6ee11e5a8023dd82d954ec0152,A note on Schema Equivalence,
pe29c1e3837020817559907e1d26fe377,Map Interpretation in Dynamic Environments,
p0a6c6b19f1c1b652a8657064544c5b02,Landmark-Based Navigation for a Mobile Robot,
p4577d4b6a942ba0f6e75fb5a640a5866,Unknown Title 270,
p7043d723f9be7b82cce04d9a368e915d,A Comparative Study of Different Methods for Representing and Reasoning with Uncertainty for a Waste,
p32d40e0cc3b48d9087a8d0c0a6f89701,String: A Geometry-based Representation for E-cient and Efiective Retrieval of Images by Spatial Similarity,
p18253c33dff4ee4704ca5132b4e0adee,Embedding Rings and Meshes in Partitioned Optical Passive Stars Networks.,
pd33301e6f55a118644a3fea97bf4d8fd,Arbitrary Size Benes Networks,
pa5d8de5a1b6263c3e83a3c06201175db,Generic Plan Recognition for Dialogue Systems,1993.0
